ComponentName,FaultProbability
src\main\org\apache\tools\ant\types\Permissions.java,0.009
src\etc\testcases\taskdefs\rmic\src\AntTimestamp.java,0
src\tests\junit\org\apache\tools\ant\types\selectors\SizeSelectorTest.java,0.006
src\main\org\apache\tools\ant\types\optional\image\Draw.java,0.01
src\main\org\apache\tools\ant\types\resources\selectors\Majority.java,0.001
src\main\org\apache\tools\ant\taskdefs\optional\j2ee\HotDeploymentTool.java,0
src\main\org\apache\tools\ant\types\DTDLocation.java,0
src\main\org\apache\tools\ant\taskdefs\optional\depend\ClassFileIterator.java,0.001
src\tests\junit\org\apache\tools\ant\taskdefs\DeltreeTest.java,0
src\main\org\apache\tools\ant\taskdefs\cvslib\ChangeLogTask.java,0.104
src\main\org\apache\tools\ant\taskdefs\optional\unix\Chown.java,0.003
src\main\org\apache\tools\ant\types\FlexInteger.java,0
src\main\org\apache\tools\ant\taskdefs\SubAnt.java,0.162
src\main\org\apache\tools\ant\taskdefs\UpToDate.java,0.036
src\main\org\apache\tools\ant\taskdefs\optional\sos\SOSLabel.java,0
src\main\org\apache\tools\ant\taskdefs\optional\ssh\SSHUserInfo.java,0.003
src\main\org\apache\tools\ant\taskdefs\optional\sos\SOSCheckin.java,0
src\main\org\apache\tools\ant\taskdefs\LoadProperties.java,0.123
src\main\org\apache\tools\ant\taskdefs\Basename.java,0
src\tests\junit\org\apache\tools\ant\taskdefs\JavaTest.java,0.006
src\tests\junit\org\apache\tools\ant\taskdefs\condition\EqualsTest.java,0
src\main\org\apache\tools\ant\input\GreedyInputHandler.java,0.002
src\main\org\apache\tools\ant\Task.java,0.047
src\tests\junit\org\apache\tools\ant\util\DateUtilsTest.java,0.002
src\tests\junit\org\apache\tools\ant\types\resources\TarResourceTest.java,0
src\main\org\apache\tools\ant\types\TarFileSet.java,0.01
src\main\org\apache\tools\ant\taskdefs\optional\clearcase\CCCheckin.java,0.001
src\tests\junit\org\example\junit\Output.java,0
src\tests\junit\org\apache\tools\ant\taskdefs\RenameTest.java,0
src\main\org\apache\tools\zip\ZipLong.java,0.144
src\tests\junit\org\apache\tools\ant\taskdefs\ExecuteJavaTest.java,0.003
src\main\org\apache\tools\ant\helper\DefaultExecutor.java,0.004
src\main\org\apache\tools\ant\types\selectors\modifiedselector\ChecksumAlgorithm.java,0.003
src\etc\testcases\taskdefs\optional\depend\src1\B.java,0
src\main\org\apache\tools\ant\taskdefs\Copydir.java,0.005
src\tests\junit\org\apache\tools\ant\taskdefs\optional\RhinoReferenceTest.java,0
src\main\org\apache\tools\ant\util\RegexpPatternMapper.java,0.01
src\main\org\apache\tools\ant\taskdefs\optional\javah\Gcjh.java,0.008
src\main\org\apache\tools\ant\types\resources\comparators\Type.java,0
src\main\org\apache\tools\ant\types\optional\image\Ellipse.java,0.004
src\main\org\apache\tools\ant\filters\HeadFilter.java,0.009
src\main\org\apache\tools\ant\types\resources\Archives.java,0.007
