TestName,ComponentName
org.apache.tools.ant.taskdefs.GzipTest@testResource,src\main\org\apache\tools\ant\Target.java
org.apache.tools.ant.taskdefs.GzipTest@testResource,src\main\org\apache\tools\ant\Main.java
org.apache.tools.ant.taskdefs.GzipTest@testResource,src\main\org\apache\tools\ant\IntrospectionHelper.java
org.apache.tools.ant.taskdefs.GzipTest@testResource,src\main\org\apache\tools\ant\ProjectHelperRepository.java
org.apache.tools.ant.taskdefs.GzipTest@testResource,src\main\org\apache\tools\ant\taskdefs\DefBase.java
org.apache.tools.ant.taskdefs.GzipTest@testResource,src\main\org\apache\tools\ant\ComponentHelper.java
org.apache.tools.ant.taskdefs.GzipTest@testResource,src\main\org\apache\tools\ant\util\JavaEnvUtils.java
org.apache.tools.ant.taskdefs.GzipTest@testResource,src\main\org\apache\tools\ant\property\ParseProperties.java
org.apache.tools.ant.taskdefs.GzipTest@testResource,src\main\org\apache\tools\ant\helper\ProjectHelper2.java
org.apache.tools.ant.taskdefs.GzipTest@testResource,src\main\org\apache\tools\ant\util\VectorSet.java
org.apache.tools.ant.taskdefs.GzipTest@testResource,src\tests\junit\org\apache\tools\ant\taskdefs\GzipTest.java
org.apache.tools.ant.taskdefs.GzipTest@testResource,src\main\org\apache\tools\ant\AntTypeDefinition.java
org.apache.tools.ant.taskdefs.GzipTest@testResource,src\main\org\apache\tools\ant\types\DataType.java
org.apache.tools.ant.taskdefs.GzipTest@testResource,src\main\org\apache\tools\ant\types\resources\Resources.java
org.apache.tools.ant.taskdefs.GzipTest@testResource,src\main\org\apache\tools\ant\types\Resource.java
org.apache.tools.ant.taskdefs.email.EmailAddressTest@test7,src\main\org\apache\tools\ant\taskdefs\email\EmailAddress.java
org.apache.tools.ant.taskdefs.email.EmailAddressTest@test7,src\tests\junit\org\apache\tools\ant\taskdefs\email\EmailAddressTest.java
org.apache.tools.ant.taskdefs.optional.TraXLiaisonTest@testXalan2Redirect,src\tests\junit\org\apache\tools\ant\taskdefs\optional\AbstractXSLTLiaisonTest.java
org.apache.tools.ant.taskdefs.optional.TraXLiaisonTest@testXalan2Redirect,src\tests\junit\org\apache\tools\ant\taskdefs\optional\TraXLiaisonTest.java
org.apache.tools.ant.taskdefs.optional.TraXLiaisonTest@testXalan2Redirect,src\main\org\apache\tools\ant\taskdefs\optional\TraXLiaison.java
org.apache.tools.zip.ExtraFieldUtilsTest@testParseWithSkip,src\tests\junit\org\apache\tools\zip\ExtraFieldUtilsTest.java
org.apache.tools.zip.ExtraFieldUtilsTest@testParseWithSkip,src\main\org\apache\tools\zip\AsiExtraField.java
org.apache.tools.zip.ExtraFieldUtilsTest@testParseWithSkip,src\main\org\apache\tools\zip\ZipUtil.java
org.apache.tools.zip.ExtraFieldUtilsTest@testParseWithSkip,src\main\org\apache\tools\zip\UnrecognizedExtraField.java
org.apache.tools.zip.ExtraFieldUtilsTest@testParseWithSkip,src\main\org\apache\tools\zip\ExtraFieldUtils.java
org.apache.tools.zip.ExtraFieldUtilsTest@testParseWithSkip,src\main\org\apache\tools\zip\ZipShort.java
org.apache.tools.ant.types.mappers.GlobMapperTest@testHandleDirSep,src\main\org\apache\tools\ant\types\resources\FileResource.java
org.apache.tools.ant.types.mappers.GlobMapperTest@testHandleDirSep,src\main\org\apache\tools\ant\PropertyHelper.java
org.apache.tools.ant.types.mappers.GlobMapperTest@testHandleDirSep,src\main\org\apache\tools\ant\ProjectComponent.java
org.apache.tools.ant.types.mappers.GlobMapperTest@testHandleDirSep,src\main\org\apache\tools\ant\Project.java
org.apache.tools.ant.types.mappers.GlobMapperTest@testHandleDirSep,src\main\org\apache\tools\ant\property\LocalProperties.java
org.apache.tools.ant.types.mappers.GlobMapperTest@testHandleDirSep,src\main\org\apache\tools\ant\helper\AntXMLContext.java
