TestName,TestOutcomeName,TestOutcome
org.apache.tools.ant.ProjectTest@testDuplicateTargetsImport,pass,1
org.apache.tools.ant.taskdefs.optional.JspcTest@testSimple,failure,0
org.apache.tools.ant.types.FileListTest@testCircularReferenceCheck,pass,1
org.apache.tools.ant.types.ResourceOutputTest@testpropertyoutput1,pass,1
org.apache.tools.ant.taskdefs.TStampTest@testTimeZone,pass,1
org.apache.tools.ant.types.DescriptionTest@test1,pass,1
org.apache.tools.ant.types.DescriptionTest@test3,pass,1
org.apache.tools.ant.types.DescriptionTest@test2,pass,1
org.apache.tools.ant.TopLevelTaskTest@testNoTarget,pass,1
org.apache.tools.ant.types.DescriptionTest@test4,pass,1
org.apache.tools.ant.taskdefs.ImportTest@testImportInSequential,pass,1
org.apache.tools.ant.util.VectorSetTest@testAddAll2,pass,1
org.apache.tools.ant.taskdefs.optional.script.ScriptDefTest@testProperty,error,0
org.apache.tools.ant.filters.ConcatFilterTest@testConcatFilterBefore,error,0
org.apache.tools.ant.IncludeTest@testWithSpaceSimple,pass,1
org.apache.tools.ant.taskdefs.RmicAdvancedTest@testDefaultDest,error,0
org.apache.tools.ant.ExtendedTaskdefTest@testRun,failure,0
org.apache.tools.ant.types.AddTypeTest@testAddSelector,pass,1
org.apache.tools.ant.taskdefs.FailTest@testIfAndUnless2,pass,1
org.apache.tools.ant.taskdefs.RmicAdvancedTest@testVersionCompatDest,error,0
org.apache.tools.ant.taskdefs.XmlPropertyTest@testCollapse,pass,1
org.apache.tools.ant.taskdefs.UnzipTest@testFlattenMapper,pass,1
org.apache.tools.ant.taskdefs.BasenameTest@testValueEqualsSuffixWithoutDot,pass,1
org.apache.tools.ant.util.LinkedHashtableTest@testPutReturnValue,pass,1
org.apache.tools.ant.taskdefs.optional.jdepend.JDependTest@testTimeoutNot,error,0
org.apache.tools.ant.types.optional.ScriptMapperTest@testSetMultiple,error,0
org.apache.tools.ant.taskdefs.LoadFileTest@testNoSourcefilefound,pass,1
org.apache.tools.ant.util.LineOrientedOutputStreamTest@testLineWithCariagereturnLinefeedArray,pass,1
org.apache.tools.ant.types.XMLCatalogTest@testClasspath,pass,1
org.apache.tools.ant.types.selectors.DependSelectorTest@testRespondsToError,pass,1
org.apache.tools.ant.util.DOMElementWriterTest@testNSOnElement,pass,1
org.apache.tools.ant.taskdefs.MultiMapTest@testSingleMove,pass,1
org.apache.tools.ant.taskdefs.CallTargetTest@testMultiCall,pass,1
org.apache.tools.ant.taskdefs.SyncTest@testEmptyDirCopyAndRemove,pass,1
org.apache.tools.ant.util.DOMElementWriterTest@testNSPrefixOnAttribute,pass,1
org.apache.tools.ant.taskdefs.JarTest@testUpdateIfOnlyManifestHasChanged,pass,1
org.apache.tools.ant.taskdefs.XmlnsTest@testXmlnsFile,error,0
org.apache.tools.ant.taskdefs.TypedefTest@testClassNotFound,pass,1
org.apache.tools.ant.types.DirSetTest@testFileSetIsNoDirSet,pass,1
org.apache.tools.ant.taskdefs.ZipTest@testDefaultExcludesAndUpdate,error,0
org.apache.tools.ant.taskdefs.optional.sos.SOSTest@testGetExceptions,pass,1
org.apache.tools.ant.util.DOMElementWriterTest@testNoNSPrefixByDefault,pass,1
org.apache.tools.ant.taskdefs.optional.script.ScriptDefTest@testDoubleAttribute,failure,0
org.apache.tools.ant.taskdefs.optional.sos.SOSTest@testCheckinExceptions,pass,1
org.apache.tools.ant.types.selectors.DateSelectorTest@testSelectionBehaviour,error,0
org.apache.tools.ant.taskdefs.condition.TypeFoundTest@testUndefined,pass,1
org.apache.tools.ant.taskdefs.cvslib.ChangeLogParserTest@testCvs112Format,pass,1
org.apache.tools.ant.types.resources.TarResourceTest@testUncompressSource,error,0
org.apache.tools.ant.types.resources.JavaResourceTest@testLoadManifest,pass,1
org.apache.tools.ant.types.selectors.ModifiedSelectorTest@testRespondsToError,pass,1
org.apache.tools.ant.loader.AntClassLoader5Test@testGetResourcesUsingFactory,pass,1
org.apache.tools.ant.taskdefs.ZipTest@testTarFileSet,error,0
org.apache.tools.ant.taskdefs.condition.ContainsTest@testCaseSensitive,pass,1
org.apache.tools.ant.DirectoryScannerTest@testFullpathDiffersInCaseScanningSensitive,pass,1
org.apache.tools.ant.taskdefs.JavadocTest@testDirsetPathWithoutPackagenames,pass,1
org.apache.tools.ant.taskdefs.XmlPropertyTest@testDTD,failure,0
org.apache.tools.ant.types.XMLCatalogTest@testResolverBase,pass,1
org.apache.tools.ant.types.optional.depend.ClassFileSetTest@testBasicSet,error,0
org.apache.tools.ant.taskdefs.optional.unix.SymlinkTest@testSingle,pass,1
org.apache.tools.ant.taskdefs.optional.ReplaceRegExpTest@testDontAddNewline2,error,0
org.apache.tools.ant.taskdefs.optional.ReplaceRegExpTest@testDontAddNewline1,error,0
org.apache.tools.ant.taskdefs.ManifestClassPathTest@testBadNoProperty,pass,1
org.apache.tools.ant.taskdefs.ConditionTest@testIstrueIncomplete1,pass,1
org.apache.tools.ant.taskdefs.optional.JspcTest@testJasper41,pass,1
org.apache.tools.ant.taskdefs.condition.XorTest@test10,pass,1
org.apache.tools.ant.taskdefs.CopyTest@testFilterSet,error,0
org.apache.tools.ant.taskdefs.ConditionTest@testIstrueNot,pass,1
org.apache.tools.ant.DirectoryScannerTest@test2ButCaseInsensitive,pass,1
org.apache.tools.ant.util.VectorSetTest@testRemoveAtEndWhenSizeEqualsCapacity,pass,1
org.apache.tools.ant.taskdefs.AptTest@testAptNewFactory,error,0
org.apache.tools.ant.taskdefs.optional.vss.MSVSSTest@testAddCommandLine,pass,1
org.apache.tools.ant.taskdefs.CVSPassTest@testPassFileDuplicateEntry,pass,1
org.apache.tools.ant.util.DOMElementWriterTest@testIsReference,pass,1
org.apache.tools.ant.taskdefs.optional.XmlValidateTest@testPropertySchemaForInvalidXML,pass,1
org.apache.tools.ant.taskdefs.JavadocTest@testNestedDirsetPath,pass,1
org.apache.tools.ant.types.PermissionsTest@testDefaultGranted,pass,1
org.apache.tools.ant.loader.AntClassLoader5Test@testGetResources,pass,1
org.apache.tools.ant.taskdefs.PreSetDefTest@testTextOptional,pass,1
org.apache.tools.ant.taskdefs.optional.ReplaceRegExpTest@testPreserveLastModified,pass,1
org.apache.tools.ant.taskdefs.ConcatTest@testConcatNoNewlineEncoding,error,0
org.apache.tools.ant.taskdefs.AntTest@testLogfilePlacement,error,0
org.apache.tools.ant.taskdefs.MacroDefTest@testImplicit,pass,1
org.apache.tools.ant.taskdefs.optional.script.ScriptDefTest@testDoubleDef,error,0
org.apache.tools.ant.taskdefs.optional.JspcTest@testNoTld,failure,0
org.apache.tools.ant.taskdefs.condition.EqualsTest@testTrim,pass,1
org.apache.tools.ant.LocationTest@testStandaloneType,pass,1
org.apache.tools.ant.types.selectors.ModifiedSelectorTest@testValidateWrongAlgorithm,pass,1
